company_number,company_status,company_type,incorporation_date,dissolution_date,age_days,sic_primary,sic_sector,region,has_insolvency_history,has_charges,has_been_liquidated,office_in_dispute,undeliverable_address,officer_count,resigned_count,officer_turnover_rate,filing_count,accounts_count,confirmation_count,charge_count,outstanding_charges,charge_satisfaction_rate,psc_count,corporate_psc_count,dissolved
NI039509,active,private-limited-guarant-nsc-limited-exemption,2000-10-25,,9326,88990,Public/Education/Health,Newtownabbey,0,0,0,0,0,14,13,0.929,85,21,21,0,0,0.0,0,0,0
NI038794,active,ltd,2000-06-15,2013-01-04,4586,4521,Manufacturing,Carrickfergus,0,1,0,0,0,6,3,0.5,43,11,11,1,1,0.0,0,0,0
NI043769,active,ltd,2002-08-01,2013-10-10,4088,7415,Manufacturing,Co Down,1,1,1,0,0,8,4,0.5,59,8,8,3,1,0.667,0,0,0
NI047536,active,ltd,2003-08-12,2013-11-08,3741,43390,Construction/Transport,County Antrim,0,1,0,0,0,3,0,0.0,35,10,9,1,1,0.0,0,0,0
NI050108,active,ltd,2004-03-30,2016-06-28,4473,70229,Real Estate/Business,Belfast,0,0,0,0,0,3,0,0.0,37,12,11,0,0,0.0,0,0,0
NL000015,active,limited-partnership,2000-03-08,,9557,,Unknown,County Antrim,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0,0
NL000040,active,limited-partnership,2004-12-12,,7817,,Unknown,Holywood,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0,0
NL000042,active,limited-partnership,2005-07-08,,7609,,Unknown,Coleraine,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0,0
NL000034,active,limited-partnership,2004-03-31,,8073,,Unknown,"Belfast,",0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0,0
NL000017,active,limited-partnership,2001-01-31,,9228,,Unknown,Unknown,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0,0
NL000018,active,limited-partnership,2001-08-02,,9045,,Unknown,College Square East,0,0,0,0,0,0,0,0.0,5,2,0,0,0,0.0,0,0,0
NL000030,active,limited-partnership,2003-11-14,,8211,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0,0
NL000041,active,limited-partnership,2004-12-12,,7817,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0,0
OC305893,active,llp,2003-10-28,,8228,,Unknown,Unknown,0,0,0,0,0,4,2,0.5,21,5,4,0,0,0.0,0,0,0
OC307349,active,llp,2004-03-23,2017-05-02,4788,,Unknown,Swansea,0,1,0,0,0,40,17,0.425,100,10,11,1,1,0.0,1,0,0
OC311128,active,llp,2005-01-24,2013-11-05,3207,,Unknown,London,0,1,0,0,0,11,9,0.818,100,9,6,1,0,1.0,0,0,0
OC311272,active,llp,2005-01-29,,7769,,Unknown,London,0,0,0,0,0,2,0,0.0,23,6,6,0,0,0.0,0,0,0
SC206976,active,ltd,2000-05-09,2023-09-12,8526,78200,Real Estate/Business,Aberdeen,1,1,0,0,0,7,4,0.571,77,18,19,3,0,1.0,4,1,0
SF000879,active,oversea-company,2002-06-01,,8742,,Unknown,Norway,0,0,0,0,0,7,0,0.0,10,2,2,0,0,0.0,0,0,0
SF000885,active,oversea-company,2002-08-15,,8667,,Unknown,Oklahoma 74105  Usa,0,0,0,0,0,6,0,0.0,11,0,1,0,0,0.0,0,0,0
SF000939,active,oversea-company,2004-08-15,,7936,,Unknown,Ny 11364   Usa,0,0,0,0,0,2,0,0.0,3,0,0,0,0,0.0,0,0,0
SF000835,active,oversea-company,2000-11-06,,9314,,Unknown,95054 Usa,0,0,0,0,0,2,0,0.0,3,0,0,0,0,0.0,0,0,0
SF000869,active,oversea-company,2001-12-20,,8905,,Unknown,Delaware Usa,0,0,0,0,0,3,0,0.0,4,0,0,0,0,0.0,0,0,0
SF000847,active,oversea-company,2001-04-01,,9168,,Unknown,Usa,0,0,0,0,0,2,0,0.0,3,0,0,0,0,0.0,0,0,0
SF000818,active,oversea-company,2000-05-15,,9489,,Unknown,South Africa,0,0,0,0,0,4,0,0.0,3,0,0,0,0,0.0,0,0,0
SF000841,active,oversea-company,2001-03-31,,9169,,Unknown,London,0,0,0,0,0,3,0,0.0,4,1,0,0,0,0.0,0,0,0
SF000909,active,oversea-company,2003-08-01,,8316,,Unknown,Canada  L3r 0h6,0,0,0,0,0,3,0,0.0,4,0,0,0,0,0.0,0,0,0
SF000917,active,oversea-company,2003-11-07,,8218,,Unknown,La 70560,0,0,0,0,0,1,0,0.0,4,1,0,0,0,0.0,0,0,0
SF000817,active,oversea-company,2000-03-27,,9538,,Unknown,British Virgin Islands,0,1,0,0,0,3,0,0.0,14,8,1,2,2,0.0,0,0,0
SF000822,active,oversea-company,2000-06-29,,9444,,Unknown,Edinburgh,0,0,0,0,0,7,0,0.0,4,0,0,0,0,0.0,0,0,0
SF000894,active,oversea-company,2002-12-21,,8539,,Unknown,Isle Of Man,0,0,0,0,0,4,2,0.5,8,3,0,0,0,0.0,0,0,0
SF000964,active,oversea-company,2005-09-19,,7536,,Unknown,De 19711  Usa,0,0,0,0,0,1,1,1.0,4,0,0,0,0,0.0,0,0,0
SF000849,active,oversea-company,2001-08-01,,9046,,Unknown,"North Carolina, Usa, 27278",0,0,0,0,0,3,0,0.0,6,2,0,0,0,0.0,0,0,0
SF000867,active,oversea-company,2001-12-20,,8905,,Unknown,Delaware Usa,0,0,0,0,0,2,0,0.0,4,1,0,0,0,0.0,0,0,0
SF000807,active,oversea-company,2000-02-01,,9593,,Unknown,55441-3787  Usa,0,0,0,0,0,6,0,0.0,5,2,0,0,0,0.0,0,0,0
SF000949,active,oversea-company,2004-05-11,,8032,,Unknown,Ayr,0,0,0,0,0,3,0,0.0,3,0,0,0,0,0.0,0,0,0
SL003690,active,limited-partnership,2000-01-25,,9600,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,3,0,0,0,0,0.0,0,0,0
SL003829,active,limited-partnership,2000-08-09,,9403,,Unknown,Unknown,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003714,active,limited-partnership,2000-02-29,,9565,,Unknown,Glasgow,0,0,0,0,1,0,0,0.0,3,0,0,0,0,0.0,0,0,0
SL003741,active,limited-partnership,2000-03-31,,9534,,Unknown,Argyll,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003841,active,limited-partnership,2000-08-29,,9383,,Unknown,Glasgow,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003698,active,limited-partnership,2000-02-09,,9585,,Unknown,Perthshire,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003724,active,limited-partnership,2000-03-08,,9557,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,19,0,0,0,0,0.0,0,0,0
SL003729,active,limited-partnership,2000-03-22,,9543,,Unknown,Glasgow,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003972,active,limited-partnership,2000-12-15,,9275,,Unknown,Annan,0,0,0,0,1,0,0,0.0,3,0,0,0,0,0.0,0,0,0
SL004904,active,limited-partnership,2003-04-30,,8409,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
SL004051,active,limited-partnership,2001-01-22,,9237,,Unknown,Unknown,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004305,active,limited-partnership,2001-07-20,,9058,,Unknown,Forres,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004350,active,limited-partnership,2001-09-05,,9011,,Unknown,Aberdeenshire,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004497,active,limited-partnership,2002-01-31,,8863,,Unknown,Lochearnhead,0,0,0,0,1,0,0,0.0,3,0,0,0,0,0.0,0,0,0
SL005228,active,limited-partnership,2004-06-22,,7990,,Unknown,Jersey,0,0,0,0,1,0,0,0.0,9,0,0,0,0,0.0,0,0,0
SL005240,active,limited-partnership,2004-07-12,,7970,,Unknown,Eskbank,0,0,0,0,1,0,0,0.0,18,0,0,0,0,0.0,0,0,0
SL005292,active,limited-partnership,2004-09-24,,7896,,Unknown,Channel Islands,0,0,0,0,1,0,0,0.0,7,0,0,0,0,0.0,0,0,0
SL004710,active,limited-partnership,2002-09-05,,8646,,Unknown,Aberdeenshire,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL005033,active,limited-partnership,2003-10-17,,8239,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,6,0,0,0,0,0.0,0,0,0
SL004078,active,limited-partnership,2001-02-08,,9220,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
SL003785,active,limited-partnership,2000-05-17,,9487,,Unknown,Fochabers,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003884,active,limited-partnership,2000-11-01,,9319,,Unknown,Sutherland,0,0,0,0,1,0,0,0.0,4,0,0,0,0,0.0,0,0,0
SL003891,active,limited-partnership,2000-11-09,,9311,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003869,active,limited-partnership,2000-10-19,,9332,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,11,0,4,0,0,0.0,3,2,0
SL004077,active,limited-partnership,2001-02-07,,9221,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,16,0,0,0,0,0.0,0,0,0
SL003717,active,limited-partnership,2000-02-28,,9566,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,4,0,0,0,0,0.0,0,0,0
SL003701,active,limited-partnership,2000-02-14,,9580,,Unknown,Lockerbie,0,0,0,0,1,0,0,0.0,3,0,0,0,0,0.0,0,0,0
SL003768,active,limited-partnership,2000-05-05,,9499,,Unknown,Midlothian,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004068,active,limited-partnership,2001-02-01,,9227,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,3,0,0,0,0,0.0,0,0,0
SL003684,active,limited-partnership,2000-01-13,,9612,,Unknown,Ayr,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003732,active,limited-partnership,2000-03-24,,9541,,Unknown,Perthshire,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003871,active,limited-partnership,2000-10-20,,9331,,Unknown,East Lothian,0,0,0,0,1,0,0,0.0,6,0,2,0,0,0.0,1,0,0
SL003713,active,limited-partnership,2000-02-29,,9565,,Unknown,Glasgow,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003823,active,limited-partnership,2000-07-26,,9417,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,5,0,0,0,0,0.0,0,0,0
SL003849,active,limited-partnership,2000-09-11,,9370,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,6,0,0,0,0,0.0,0,0,0
SL003738,active,limited-partnership,2000-03-28,,9537,,Unknown,Aberdeenshire,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003736,active,limited-partnership,2000-03-27,,9538,,Unknown,Kincardineshire,0,0,0,0,1,0,0,0.0,3,0,0,0,0,0.0,0,0,0
SL003824,active,limited-partnership,2000-07-27,,9416,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004072,active,limited-partnership,2001-02-02,,9226,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,3,0,0,0,0,0.0,0,0,0
SL004076,active,limited-partnership,2001-02-07,,9221,,Unknown,Laggan Bridge,0,0,0,0,1,0,0,0.0,4,0,0,0,0,0.0,0,0,0
SL004079,active,limited-partnership,2001-02-08,,9220,,Unknown,Argyll,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004073,active,limited-partnership,2001-02-02,,9226,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
SL004101,active,limited-partnership,2001-02-22,,9206,,Unknown,Aberdeenshire,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL005622,active,limited-partnership,2005-12-19,,7445,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,5,0,0,0,0,0.0,0,0,0
SL004344,active,limited-partnership,2001-08-31,,9016,,Unknown,Ayrshire,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004061,active,limited-partnership,2001-01-22,,9237,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,9,0,0,0,0,0.0,0,0,0
SL004084,active,limited-partnership,2001-02-09,,9219,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,7,0,0,0,0,0.0,0,0,0
SL004099,active,limited-partnership,2001-02-19,,9209,,Unknown,Banff,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003715,active,limited-partnership,2000-02-28,,9566,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,5,0,0,0,0,0.0,0,0,0
SL003703,active,limited-partnership,2000-02-15,,9579,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,8,0,3,0,0,0.0,1,1,0
SL003899,active,limited-partnership,2000-11-17,,9303,,Unknown,Dumfries,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL003938,active,limited-partnership,2000-12-11,,9279,,Unknown,Unknown,0,0,0,0,1,0,0,0.0,4,0,0,0,0,0.0,0,0,0
SL004005,active,limited-partnership,2000-12-21,,9269,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
SL004006,active,limited-partnership,2000-12-21,,9269,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,4,0,0,0,0,0.0,0,0,0
SL003986,active,limited-partnership,2000-12-19,,9271,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
SL004539,active,limited-partnership,2002-03-21,,8814,,Unknown,Unknown,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004561,active,limited-partnership,2002-04-22,,8782,,Unknown,Unknown,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004838,active,limited-partnership,2003-01-23,,8506,,Unknown,Unknown,0,0,0,0,1,0,0,0.0,4,0,0,0,0,0.0,0,0,0
SL004502,active,limited-partnership,2002-02-04,,8859,,Unknown,Renfrewshire,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004709,active,limited-partnership,2002-09-04,,8647,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,5,0,0,0,0,0.0,0,0,0
SL004270,active,limited-partnership,2001-06-25,,9083,,Unknown,Unknown,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL005239,active,limited-partnership,2004-07-05,,7977,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
SL003874,active,limited-partnership,2000-10-25,,9326,,Unknown,Unknown,0,0,0,0,1,0,0,0.0,2,0,0,0,0,0.0,0,0,0
SL004054,active,limited-partnership,2001-01-23,,9236,,Unknown,Edinburgh,0,0,0,0,1,0,0,0.0,4,0,0,0,0,0.0,0,0,0
NI058260,active,private-unlimited,2006-02-23,,7379,8512,Manufacturing,Co Down,1,0,1,0,0,5,2,0.4,23,1,4,0,0,0.0,0,0,0
NI063033,active,ltd,2007-02-07,2015-06-18,3053,,Unknown,N. Ireland,1,1,1,0,0,5,3,0.6,22,1,2,2,2,0.0,0,0,0
NI603128,active,ltd,2010-05-13,2014-12-02,1664,55100,Retail/Trade,Belfast,1,1,0,0,0,3,1,0.333,21,2,3,1,1,0.0,0,0,0
NI603481,active,ltd,2010-06-16,2016-12-27,2386,41100,Construction/Transport,Belfast,0,1,0,0,0,6,3,0.5,28,5,6,4,4,0.0,0,0,0
NL000065,active,limited-partnership,2009-09-27,,6067,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0,0
NL000051,active,limited-partnership,2007-06-26,,6891,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0,0
NL000057,active,limited-partnership,2008-05-14,,6568,,Unknown,Bt17fw,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0,0
NL000047,active,limited-partnership,2006-03-07,,7367,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0,0
NL000050,active,limited-partnership,2007-03-13,,6996,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0,0
NL000059,active,limited-partnership,2008-07-01,,6520,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0,0
NL000064,active,limited-partnership,2009-09-27,,6067,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0,0
NL000054,active,limited-partnership,2007-10-22,,6773,,Unknown,Unknown,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0,0
NL000045,active,limited-partnership,2006-03-08,,7366,,Unknown,Belfast,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0,0
OC332458,active,llp,2007-10-29,2012-08-14,1751,,Unknown,London,0,0,0,0,0,2,0,0.0,15,4,3,0,0,0.0,0,0,0
OC352666,active,llp,2010-02-26,2021-03-16,4036,,Unknown,Hertfordshire,0,1,0,0,0,4,1,0.25,35,10,10,3,3,0.0,1,1,0
OC353080,active,llp,2010-03-10,2014-07-08,1581,,Unknown,London,0,0,0,0,0,5,3,0.6,21,2,3,0,0,0.0,0,0,0
06963470,active,ltd,2009-07-15,2017-02-14,2771,43341,Construction/Transport,Plymouth,0,0,0,0,0,3,1,0.333,27,8,6,0,0,0.0,0,0,0
06963132,active,ltd,2009-07-15,2015-11-17,2316,19209,Manufacturing,Manchester,0,0,0,0,0,4,3,0.75,30,5,5,0,0,0.0,0,0,0
06982442,active,ltd,2009-08-05,2011-11-22,839,7487,Manufacturing,London,0,0,0,0,0,1,0,0.0,7,0,1,0,0,0.0,0,0,0
07020772,active,ltd,2009-09-16,2017-03-07,2729,41201,Construction/Transport,Merseyside,0,0,0,0,0,4,4,1.0,26,7,6,0,0,0.0,0,0,0
07027135,active,ltd,2009-09-23,2019-07-23,3590,86900,Public/Education/Health,Bognor Regis,0,0,0,0,0,1,0,0.0,31,9,8,0,0,0.0,1,0,0
07038120,active,ltd,2009-10-12,,6052,99000,Other Services,London,0,0,0,0,0,4,4,1.0,1,0,0,0,0,0.0,0,0,0
07046474,active,ltd,2009-10-16,2014-12-02,1873,41100,Construction/Transport,Derbyshire,0,0,0,0,0,2,2,1.0,21,2,4,0,0,0.0,0,0,0
07386216,active,ltd,2010-09-23,2015-08-18,1790,93199,Other Services,Surrey,0,0,0,0,0,1,0,0.0,13,1,2,0,0,0.0,0,0,0
07394408,active,ltd,2010-10-01,2017-04-04,2377,47890,Construction/Transport,Ilford,0,0,0,0,0,3,2,0.667,45,8,9,0,0,0.0,0,0,0
07394977,active,ltd,2010-10-04,2015-01-13,1562,62020,Finance/Insurance,Berkshire,0,0,0,0,0,1,0,0.0,12,3,3,0,0,0.0,0,0,0
07409441,active,ltd,2010-10-15,2015-08-04,1754,99999,Other Services,Buckinghamshire,0,0,0,0,0,2,0,0.0,12,4,4,0,0,0.0,0,0,0
07411304,active,ltd,2010-10-18,2015-09-08,1786,49410,Construction/Transport,Dartford,0,0,0,0,0,1,0,0.0,13,2,3,0,0,0.0,0,0,0
07419692,active,ltd,2010-10-26,2016-05-24,2037,90020,Other Services,Oxford,0,0,0,0,0,1,0,0.0,16,4,5,0,0,0.0,0,0,0
07431006,active,ltd,2010-11-05,2015-06-30,1698,78109,Real Estate/Business,Surrey,0,0,0,0,0,5,3,0.6,20,3,4,0,0,0.0,0,0,0
07438022,active,ltd,2010-11-12,2013-03-19,858,62020,Finance/Insurance,London,0,0,0,0,0,3,1,0.333,12,0,2,0,0,0.0,0,0,0
07440704,active,ltd,2010-11-16,2015-03-03,1568,49410,Construction/Transport,Lincolnshire,0,0,0,0,0,1,0,0.0,11,0,1,0,0,0.0,0,0,0
07450808,active,ltd,2010-11-25,2015-03-03,1559,43999,Construction/Transport,Lincolnshire,0,0,0,0,0,1,0,0.0,11,0,1,0,0,0.0,0,0,0
07455543,active,ltd,2010-11-30,2019-01-29,2982,86230,Public/Education/Health,South Yorkshire,0,0,0,0,0,3,2,0.667,29,8,7,0,0,0.0,1,0,0
07237392,active,ltd,2010-04-28,2023-04-04,4724,87900,Public/Education/Health,England,0,0,0,0,0,2,1,0.5,34,12,12,0,0,0.0,1,0,0
07256308,active,ltd,2010-05-18,2020-10-20,3808,62020,Finance/Insurance,Essex,0,0,0,0,0,2,0,0.0,23,9,9,0,0,0.0,1,0,0
07277687,active,private-limited-guarant-nsc,2010-06-08,2017-05-30,2548,85590,Public/Education/Health,Warwickshire,0,0,0,0,0,8,3,0.375,24,6,6,0,0,0.0,0,0,0
07280246,active,ltd,2010-06-10,2015-05-12,1797,96010,Other Services,London,0,0,0,0,0,2,1,0.5,20,2,3,0,0,0.0,0,0,0
07308007,active,ltd,2010-07-08,2019-05-21,3239,68100,Finance/Insurance,Hampshire,0,0,0,0,0,2,1,0.5,26,8,8,0,0,0.0,1,0,0
07311677,active,ltd,2010-07-12,,5779,7470,Manufacturing,Kent,0,0,0,0,0,2,0,0.0,4,0,0,0,0,0.0,0,0,0
07316651,active,ltd,2010-07-15,2019-01-15,3106,98000,Other Services,Middlesex,0,1,0,0,0,8,5,0.625,46,7,10,1,0,1.0,3,0,0
07352972,active,ltd,2010-08-23,2020-10-13,3704,47990,Construction/Transport,Hampshire,0,0,0,0,0,1,0,0.0,29,10,9,0,0,0.0,1,0,0
07076590,active,ltd,2009-11-14,,6019,62090,Finance/Insurance,East Sussex,0,0,0,0,0,1,0,0.0,13,3,4,0,0,0.0,0,0,0
07083592,active,ltd,2009-11-23,2021-12-07,4397,96090,Other Services,London,0,0,0,0,0,3,2,0.667,49,10,11,0,0,0.0,1,0,0
07092442,active,ltd,2009-12-01,2015-08-18,2086,96090,Other Services,Lancashire,0,0,0,0,0,2,1,0.5,18,4,5,0,0,0.0,0,0,0
07125640,active,ltd,2010-01-14,,5958,99999,Other Services,Grimsby,0,0,0,0,0,1,0,0.0,15,4,5,0,0,0.0,0,0,0
07127795,active,ltd,2010-01-17,2015-07-14,2004,56101,Retail/Trade,Kent,0,0,0,0,0,2,1,0.5,15,4,4,0,0,0.0,0,0,0
07131047,active,ltd,2010-01-20,2017-03-14,2610,61900,Finance/Insurance,Berkshire,0,0,0,0,0,2,0,0.0,29,8,6,0,0,0.0,0,0,0
07143179,active,ltd,2010-02-02,2017-11-04,2832,32990,Manufacturing,Manchester,1,1,0,0,0,4,1,0.25,40,6,6,7,4,0.429,0,0,0
07178147,active,ltd,2010-03-04,2015-08-04,1979,59111,Retail/Trade,Surrey,0,0,0,0,0,3,1,0.333,15,3,4,0,0,0.0,0,0,0
07199508,active,ltd,2010-03-23,2015-08-04,1960,80100,Public/Education/Health,Slough,0,0,0,0,0,3,2,0.667,32,3,4,0,0,0.0,0,0,0
07200446,active,ltd,2010-03-23,2014-07-22,1582,56302,Retail/Trade,Nottinghamshire,0,0,0,0,0,2,0,0.0,10,2,3,0,0,0.0,0,0,0
07216970,active,ltd,2010-04-08,2020-10-13,3841,56102,Retail/Trade,London,0,0,0,0,0,3,1,0.333,31,11,9,0,0,0.0,1,0,0
06787272,active,ltd,2009-01-09,,6328,71129,Real Estate/Business,London,0,0,0,0,0,2,2,1.0,19,2,3,0,0,0.0,0,0,0
06799271,active,ltd,2009-01-22,2014-11-18,2126,62020,Finance/Insurance,Hampshire,0,1,0,0,0,4,3,0.75,35,4,7,1,1,0.0,0,0,0
06827459,active,ltd,2009-02-23,2018-02-14,3278,33200,Manufacturing,Southampton,1,1,0,0,0,4,2,0.5,36,6,7,2,1,0.5,0,0,0
06888134,active,ltd,2009-04-27,,6220,,Unknown,West Sussex,0,0,0,0,0,1,0,0.0,2,0,0,0,0,0.0,0,0,0
06895134,active,ltd,2009-05-05,2015-07-21,2268,46420,Construction/Transport,London,0,0,0,0,0,1,0,0.0,16,6,5,0,0,0.0,0,0,0
06888749,active,ltd,2009-04-27,2015-05-19,2213,69109,Finance/Insurance,London,0,0,0,0,0,2,1,0.5,19,3,3,0,0,0.0,0,0,0
06912268,active,ltd,2009-05-21,2019-10-01,3785,68100,Finance/Insurance,London,0,0,0,0,0,5,3,0.6,41,10,10,0,0,0.0,2,0,0
06911978,active,ltd,2009-05-20,2013-10-01,1595,93290,Other Services,Essex,0,0,0,0,0,5,1,0.2,24,4,3,0,0,0.0,0,0,0
06634113,active,ltd,2008-07-01,,6520,82990,Public/Education/Health,Hythe,0,0,0,0,0,1,0,0.0,28,11,13,0,0,0.0,1,0,0
06657968,active,ltd,2008-07-28,2020-03-03,4236,82990,Public/Education/Health,Essex,0,1,0,0,0,6,4,0.667,44,11,11,1,1,0.0,1,1,0
06666865,active,ltd,2008-08-07,,6483,7420,Manufacturing,Warwickshire,0,0,0,0,0,3,2,0.667,17,1,2,0,0,0.0,0,0,0
06674284,active,ltd,2008-08-15,,6475,5141,Manufacturing,West Bromwich,0,0,0,0,0,5,3,0.6,19,2,2,0,0,0.0,0,0,0
06689584,active,ltd,2008-09-04,2015-02-03,2343,38320,Manufacturing,Cardiff,0,0,0,1,0,4,2,0.5,26,5,5,0,0,0.0,0,0,0
06708383,active,ltd,2008-09-25,2017-04-18,3127,70229,Real Estate/Business,Bexleyheath,0,0,0,0,0,1,0,0.0,25,7,8,0,0,0.0,1,0,0
06708702,active,private-unlimited,2008-09-26,,6433,7499,Manufacturing,London,0,0,0,0,0,3,0,0.0,1,0,0,0,0,0.0,0,0,0
06718888,active,ltd,2008-10-08,2017-05-30,3156,74901,Real Estate/Business,Ilkley,0,0,0,0,0,4,3,0.75,33,6,7,0,0,0.0,0,0,0
06725417,active,ltd,2008-10-16,2016-04-05,2728,68320,Finance/Insurance,Berkshire,0,0,0,0,0,3,2,0.667,21,6,7,0,0,0.0,0,0,0
06725793,active,ltd,2008-10-16,2011-11-29,1139,82990,Public/Education/Health,Warwick,0,0,0,0,0,2,0,0.0,14,1,3,0,0,0.0,0,0,0
06753023,active,ltd,2008-11-19,2015-06-23,2407,82990,Public/Education/Health,West Midlands,0,0,0,0,0,2,1,0.5,20,5,6,0,0,0.0,0,0,0
06586743,active,ltd,2008-05-07,2016-03-29,2883,71129,Real Estate/Business,Manchester,0,0,0,0,0,2,1,0.5,23,7,7,0,0,0.0,0,0,0
06621314,active,ltd,2008-06-17,2015-08-18,2618,71122,Real Estate/Business,Hampshire,0,0,0,0,0,3,1,0.333,24,7,6,0,0,0.0,0,0,0
06642149,active,ltd,2008-07-09,2015-01-20,2386,70100,Real Estate/Business,Cheshire,0,1,0,0,0,5,5,1.0,31,6,6,1,1,0.0,0,0,0
06658367,active,ltd,2008-07-29,2013-04-30,1736,99999,Other Services,West Yorkshire,0,0,0,0,0,4,2,0.5,29,4,4,0,0,0.0,0,0,0
06663893,active,ltd,2008-08-04,,6486,5211,Manufacturing,Hull,0,0,0,0,0,3,0,0.0,8,1,1,0,0,0.0,0,0,0
06664775,active,ltd,2008-08-05,2020-01-10,4175,41100,Construction/Transport,Bury,1,0,0,0,0,5,2,0.4,40,9,9,0,0,0.0,1,0,0
